,,Demand,
Year,Month,Item A,Item B
2002,1,1954,2585
2002,2,2302,3368
2002,3,3054,3210
2002,4,2414,3111
2002,5,2226,3756
2002,6,2725,4216
2002,7,2589,5225
2002,8,3470,4426
2002,9,2400,3932
2002,10,3180,3816
2002,11,4009,3661
2002,12,3924,3795
2003,1,2072,2285
2003,2,2434,2934
2003,3,2956,2985
2003,4,2828,3646
2003,5,2687,4198
2003,6,2629,4935
2003,7,3150,5618
2003,8,4119,5454
2003,9,3030,3624
2003,10,3055,2898
2003,11,3821,3802
2003,12,4001,2369
2004,1,2529,2369
2004,2,2472,2511
2004,3,3134,3079
2004,4,2789,3728
2004,5,2758,4151
2004,6,2993,4326
2004,7,3282,5054
2004,8,3437,5138
2004,9,2804,3310
2004,10,3076,3508
2004,11,3782,3790
2004,12,3889,3446
2005,1,2271,2127
2005,2,2452,2523
2005,3,3084,3017
2005,4,2522,3265
2005,5,2769,3822
2005,6,3438,4027
2005,7,2839,4420
2005,8,3746,5255
2005,9,2632,4009
2005,10,2851,3074
2005,11,3871,3465
2005,12,3618,3718
2006,1,2389,1954
2006,2,2344,2604
2006,3,2678,3626
2006,4,2492,2836
2006,5,2858,4042
2006,6,2246,3584
2006,7,2800,4225
2006,8,3869,4523
2006,9,3007,2892
2006,10,3023,2876
2006,11,3907,3420
2006,12,4209,3159
2007,1,2353,2101
2007,2,2570,2181
2007,3,2903,2724
2007,4,2910,2954
2007,5,3782,4092
2007,6,2759,3470
2007,7,2931,3990
2007,8,3641,4239
2007,9,2794,2855
2007,10,3070,2897
2007,11,3576,3433
2007,12,4106,3307
2008,1,2452,1914
2008,2,2206,2214
2008,3,2488,2320
2008,4,2416,2714
2008,5,2534,3633
2008,6,2521,3295
2008,7,3093,4377
2008,8,3903,4442
2008,9,2907,2774
2008,10,3025,2840
2008,11,3812,2828
2008,12,4209,3758
2009,1,2138,1610
2009,2,2419,1968
2009,3,2622,2248
2009,4,2912,3262
2009,5,2708,3164
2009,6,2798,2972
2009,7,3254,4041
2009,8,2895,3402
2009,9,3263,2898
2009,10,3736,2555
2009,11,4077,3056
2009,12,4097,3717
2010,1,2175,1755
2010,2,3138,2193
2010,3,2823,2198
2010,4,2498,2777
2010,5,2822,3076
2010,6,2738,3389
2010,7,4137,4231
2010,8,3515,3118
2010,9,3785,2524
2010,10,3632,2280
2010,11,4504,2862
2010,12,4451,3502
2011,1,2550,1558
2011,2,2867,1940
2011,3,3458,2226
2011,4,2961,2676
2011,5,3163,3145
2011,6,2880,3224
2011,7,3331,4117
2011,8,3062,3446
2011,9,3534,2482
2011,10,3622,2349
2011,11,4464,2986
2011,12,5411,3163
2012,1,2564,1651
2012,2,2820,1725
2012,3,3508,2622
2012,4,3088,2316
2012,5,3299,2976
2012,6,2939,3263
2012,7,3320,3951
2012,8,3418,2917
2012,9,3604,2380
2012,10,3495,2458
2012,11,4163,2883
2012,12,4882,2579
2013,1,2211,1330
2013,2,3260,1686
2013,3,2992,2457
2013,4,2425,2514
2013,5,2707,2834
2013,6,3244,2757
2013,7,3965,3425
2013,8,3315,3006
2013,9,3333,2369
2013,10,3583,2017
2013,11,4021,2507
2013,12,4904,3168
2014,1,2252,1545
2014,2,2952,1643
2014,3,3573,2112
2014,4,3048,2415
2014,5,3059,2862
2014,6,2731,2822
2014,7,3563,3260
2014,8,3092,2606
2014,9,3478,2264
2014,10,3478,2250
2014,11,4308,2545
2014,12,5029,2856
2015,1,2075,1208
2015,2,3264,1412
2015,3,3308,1964
2015,4,3688,2018
2015,5,3136,2329
2015,6,2824,2660
2015,7,3644,2923
2015,8,4694,2626
2015,9,2914,2132
2015,10,3686,1772
2015,11,4358,2526
2015,12,5587,2755
2016,1,2265,1154
2016,2,3685,1568
2016,3,3754,1965
2016,4,3708,2659
2016,5,3210,2354
2016,6,3517,2592
2016,7,3905,2714
2016,8,3670,2294
2016,9,4221,2416
2016,10,4404,2016
2016,11,5086,2799
2016,12,5725,2467
2017,1,2367,1153
2017,2,3819,1482
2017,3,4067,1818
2017,4,4022,2262
2017,5,3937,2612
2017,6,4365,2967
2017,7,4290,3179
